normalized_job_code;title;normalized_job_title
5285758deb04c98f58cbae2747195f33;Data Reviewer;data reviewer
1f8576bdffa64f492405d02b842c41a6;Data Management Associate;data management associate
46b09f5f86f1ed46a8cb8e14d41418c7;Survey Data Technician;survey data technician
e2f68bf748aea2c7d2254550c0c92b23;Director of Data Operations;director of data operations
bc6dcc49557388a9f53d6e642e73d7a2;Business Database Analyst;business database analyst
996da29c84f5eed00da40c230f4c4078;Data Entry Representative;data entry representative
0044971fda4a261b6049a63817913e95;Data Processing Equipment Repairer;data processing equipment repairer
3ddea1b52e520996e4ec9fb70dc8b86b;Field Artillery Automated Tactical Data System Specialist;field artillery automated tactical data system specialist
f670246beda8187fbe875401e7bc4ba6;Data Processing Services Sales Representative;data processing services sales representative
04b0eaf624b2deb45ccd62cf6ec7c7bc;Data Conversion Operator;data conversion operator
e7b3e1c6a32c7247cd4857e4c3574165;Data Processing Systems Analyst;data processing systems analyst
776bf47111206d31ccf835650e1054cc;Data Typist;data typist
16b67d7f57698455aefbc1ae1b358b50;Database Engineer;database engineer
af6630abd24c19f77cfba94aa4e3b7e1;Data Specialist;data specialist
07b2ace822aff5d35dcf5ea264ef3b59;Database Administration Project Manager;database administration project manager
f6fbd9dea1fa8f899683ade8e7d87d60;Data Entry Associate;data entry associate
59dab7d0a3ee97d939aa8b1a8deec857;Data Management Manager;data management manager
31bf3181813e21ffdfd76b5881fab066;Data Entry Supervisor;data entry supervisor
775190277a849cba701b306a7b374c0a;Data Officer;data officer
477b53ef09d37f098d5ed74f47fcbaec;Data Base Design Analyst;data base design analyst
07b7555fa790debaf5b04d1409ad5f11;Database Security Administrator;database security administrator
36ac256201657eeaa67ee95aaae3cd54;Data Warehousing Specialist;data warehousing specialist
2ca138b991c50dc6696238e5ad800142;Database Software Technician;database software technician
499f9d9b6722342608656559b15abd90;Clinical Data Associate;clinical data associate
7aecc34a90868aac810bf3693b11534e;Clinical Trials Data Coordinator;clinical trials data coordinator
27af8700f5577cec835acee2cb90a2ff;Data Entry Specialist;data entry specialist
f8984e50675cf61e5ac1ea8f661e0ab2;Field Traffic Data Technician;field traffic data technician
c1fb1a01b78373ac2153c66fa08d16dc;Data Examination Clerk;data examination clerk
36675c937946c8a4fc5de7d0b4c850de;Data Warehousing Engineer;data warehousing engineer
559a21f836c93876f31b60e6d10656a7;Data Analysis Assistant;data analysis assistant
ac9f868b5c3e7cb3f31bcead5dadeb71;Micro Computer Data Processor;micro computer data processor
aee597cd78f235c9db9d3ca987c7c846;Database Development Project Manager;database development project manager
c3b5ebd7b88c20786f11e87846c7d6ae;SCADA Operator (Supervisory Control and Data Acquisition Operator);scada operator supervisory control and data acquisition operator
f2ecf36d7eb0a4225974fc6c4f48cfcb;Voice and Data Technician;voice and data technician
7028f15ad274cb4d9505101b9c1306b1;Clinical Data Management Manager (CDM Manager);clinical data management manager cdm manager
7a37ddb38441873334fd8ff07c17ad22;Data Acquisition Technician;data acquisition technician
ac47656fd51c2cd8037057262c910dc4;Data Processing Manager;data processing manager
00bff17fca67555d8d86e8ead86dcd70;Database Analyst;database analyst
04c27c76b463a917800549cf88a59961;Data Communications Technician;data communications technician
d71c4164c99a5f9bca773e755a72f40f;Geographic Information Systems Database Administrator (GIS Database Administrator);geographic information systems database administrator gis database administrator
d63e35f948115e0c328a49db7bdb6e59;Data Control Clerk Supervisor;data control clerk supervisor
631bc3a12ed11340fc94ebfffa8f5f4e;Database Technician;database technician
ced804d972b03cca6d523ec8925a7943;Oracle Database Administrator (Oracle DBA);oracle database administrator oracle dba
d24ffac92c24fb0e7bd1abc5fc3b6254;Data Manager;data manager
76b0ba6af40991629e20dff36edd02a5;Data Management Information Technology Specialist;data management information technology specialist
a003702c0cea282e17967772dd83de5e;Data Security Analyst;data security analyst
781f5d3a80812531fdc81125a527a626;Data Warehouse Specialist;data warehouse specialist
a50d1f4be063829950e6ddb02c91379f;Database Programmer;database programmer
6cf4d336112984368f83181ac5ffe948;Health Data Analyst;health data analyst
b42566382f2d3deeca56d3667004fc9e;Data Center Manager;data center manager
04c82eae29e1c4a30eac0710b74ab276;Database Marketing Analyst;database marketing analyst
437e4414c78611a270a5cedb4b4c0eed;Data Collection Technician;data collection technician
861a9b9151e11362eb3c77ca914172d0;Automatic Data Processing Planner;automatic data processing planner
132aa9e82c5d4c8a395342d0a6e22c5c;Electronic Data Interchange System Developer (EDI System Developer);electronic data interchange system developer edi system developer
6bf4290b983d58ce153af610008846c9;Data Entry Technician;data entry technician
cf2d4db3c258faa2499bdeeeed6721a5;GPS Field Data Collector (Global Positioning System Field Data Collector);gps field data collector global positioning system field data collector
ac2588d5d7676a49bdcd038e4a0a0ec5;Data Compiler;data compiler
022d0e3a40aa3e29bca6851542b27842;Data Keyer;data keyer
f05d2014d4a9adaab50fa1e0ca6f6c8c;Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller;naval tactical data systemcombat information center watch officer carrier controlled approach controller
65b92572bca68ff9c49c930749fa348c;LiDAR Data Analyst;lidar data analyst
7bb15eefb19ed09c59349baad7e8469e;Database Coordinator;database coordinator
dac2e921c1f887d9efc4c06fa33c1397;Automatic Data Processing Customer Liaison (ADP Customer Liaison);automatic data processing customer liaison adp customer liaison
bdf4dcd92089bc17345de83f4d06090f;Data Entry Operator;data entry operator
eb3d789747d52df803ce63fe37bf53e9;Data Analyst;data analyst
58eaf730050d2e23c7361fbb782e30a2;Data Processing Mechanic;data processing mechanic
f1fb62e4c97f4f5cd5001877cb94379e;Data Processor;data processor
096536ec43ce2a7de73031b271a1c132;Flight Data Technician;flight data technician
16b49a63ac3fcb90356c30187110ed94;Data Processing Auxiliary Equipment Operator;data processing auxiliary equipment operator
2616d64becb4f2c478dd42f501bbfbff;Data Processing Control Clerk;data processing control clerk
049a3f3a2b5f85cb2971ba77ad66e10c;Data Coordinator;data coordinator
067c85859a63aa6f1c8c936904124dd6;Naval Tactical Data System--Combat Information Center Officer;naval tactical data systemcombat information center officer
ccf2c4daae069f054cada4c911819a17;Scientific Database Curator;scientific database curator
e49986dae76619a3941d280ee14d38ae;Data Miner;data miner
a2a9fbe67b4aa2b551ba0f3adac90a99;Engineer, System Electronic Data Processing (Engineer, System EDP);engineer system electronic data processing engineer system edp
141ddda0f613da65a280521247de0e9f;Data Administrator;data administrator
8a7a3f1bce0958ae9f090683e5a925b7;Data Scientist;data scientist
897ef18a9321616495831a4b4b0c1bb2;Data Communications Software Consultant;data communications software consultant
f842344417ed2fc226d9cc00f9562458;Log Data Technician;log data technician
c34f03aa0a9c6edbe8ec50f4fa3687a8;Data Center Operator;data center operator
f5bc91b67dc30ad204158092116c4ed2;Clinical Data Manager;clinical data manager
fd69391dc29c83d5ad744daa57de0175;Data Transcriber;data transcriber
3833bd699e7afe4665b595f282da0387;Database Development and Administration Project Manager;database development and administration project manager
2173ff3afd8d28192f7cf119af201940;Data Modeling Specialist;data modeling specialist
901740e84d1a4760e440b039adac9df2;Data Processing Clerk;data processing clerk
569da68cdcac43a3b4a0126ea9170570;Database Designer;database designer
d4624ed8068d24948e18303212593cd6;Data Architect;data architect
76385cb24e831b3364279b9de5641d8f;Automatic Data Processing Systems Security Specialist (ADP Systems Security);automatic data processing systems security specialist adp systems security
4f75f97ac5b5f00f9420074d501f0803;Data Capture Specialist;data capture specialist
433df1b945d32f17d9e61cf60a9bd06e;Data Abstractor;data abstractor
2f704538f6c9d6459a97314be98124e2;Data Collector;data collector
edc64316da9707432443c7a4461abe6c;Data Security Administrator;data security administrator
ccd7528fb38f16077360c5b67c9700c4;Data Communications Analyst;data communications analyst
1dd2fdc8a3981f2a1d8f0ca173952bb8;Database Administration Manager;database administration manager
05bb9a333a66d6eb151e253623efe1c0;Data Entry Clerk;data entry clerk
3def30a9bc4356164176ba909f40bab8;Data Input Clerk;data input clerk
d9e964a222fdd9527319ad88adbfaa2e;SQL Database Administrator;sql database administrator
a33662485eb4ad97096183db945308f4;Automatic Data Processing Planner (ADP Planner);automatic data processing planner adp planner
4cee16550636e292b8d136486fce943b;Data Capture Clerk;data capture clerk
ec3d88b2fd083b870b8c5a603898ed39;Databases Computer Consultant;databases computer consultant
004431b0c1ce29ff6145307fa23f3f98;Data Reduction Technician;data reduction technician
f4b2fb1aa40f661488e2782b6d57ad2f;Database Developer;database developer
c1b670eba9ccb65e7c99f7da116d5b9c;Database Architect;database architect
1a281bf4bd1fe9b2a6e464e508bea167;Data Storage Specialist;data storage specialist
847165cfda6b1dc82ae22b967da8af2f;Data Warehouse Developer;data warehouse developer
34d80517fe3bc143f9fc850386b8ffd7;Clinical Data Coordinator;clinical data coordinator
d329d187dafb7546061ec7fbf137a2b4;Clinical Data Abstractor;clinical data abstractor
800b621aab5dac18f4caef621fa43a49;Data Systems Manager;data systems manager
a12a16280e22220f9354333f6fe1b22a;Geographic Information Systems Data Administrator (GIS Data Administrator);geographic information systems data administrator gis data administrator
41b2978a2c07c5f477e60f26372d6c85;Database Management System Specialist (DBMS Specialist);database management system specialist dbms specialist
122f24bc911a79c26ca66210557dda07;Clinical Data Specialist;clinical data specialist
dfea9e8bc3c565ff9e64d4288b1c423d;Customer Data Technician;customer data technician
