count
206
5
1
3
5
1
2
3
1
6
2
3
2
3
5
5
5
1
1
3
4
2
1
1
2
3
1
1
4
8
3
1
2
1
9
1
2
4
1
7
2
4
7
1
1
1
1
1
2
2
3
2
3
2
1
3
2
7
6
1
2
1
1
4
1
5
1
1
1
1
1
10
3
3
5
4
7
3
1
1
2
1
2
5
1
1
1
3
1
1
2
1
7
2
1
1
1
7
3
3
2
1
1
1
1
5
5
5
8
7
5
5
7
2
2
4
1
2
1
1
2
1
3
5
3
2
5
3
4
1
2
2
4
1
2
6
9
6
352
1
5
3
1
1
7
2
1
1
2
2
1
2
2
2
1
1
1
1
2
5
4
5
4
1
6
8
7
3
8
1
1
1
1
2
1
3
4
8
5
4
3
5
2
3
1
6
2
5
3
2
6
3
6
2
3
3
6
4
3
3
1
5
5
2
2
6
3
6
1
4
1
8
4
4
1
1
1
1
1
1
2
2
1
1
2
1
1
1
1
2
1
1
1
1
1
2
1
2
1
1
3
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
2
1
1
1
1
1
2
2
1
1
1
1
43
38
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
3
1
1
1
1
1
3
2
3
3
3
1
3
1
5
1
3
3
2
2
1
1
4
5
1
2
1
3
2
1
1
7
2
8
4
4
1
1
1
2
4
4
4
1
4
6
5
6
5
2
2
3
1
4
2
4
4
6
4
1
1
2
1
5
4
1
2
2
1
1
1
1
1
1
4
3
8
3
4
5
6
5
1
4
1
1
3
1
1
1
1
1
1
1
2
1
7
3
1
5
2
2
1
1
6
3
2
1
2
4
5
5
2
3
1
1
2
2
3
6
2
3
2
6
5
4
2
1
1
1
1
1
1
4
3
3
6
1
1
1
3
5
2
2
1
1
175
248
1
2
5
1
1
1
1
1
4
3
1
2
1
1
2
3
4
5
2
6
1
1
1
5
4
4
8
2
1
6
1
6
7
1
4
3
2
1
1
4
1
4
4
7
2
5
3
4
3
3
2
3
1
3
2
2
5
6
4
3
9
4
7
3
2
1
1
4
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
5
6
1
1
1
2
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
3
1
1
2
2
1
13
2
2
1
16
1
1
2
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
2
3
1
4
3
2
2
2
1
1
1
5
2
1
1
2
1
1
2
1
1
2
1
1
1
4
1
3
2
3
1
1
1
5
1
2
1
1
1
4
2
2
2
1
2
3
1
2
1
2
5
1
1
1
1
4
2
1
1
3
1
1
1
1
1
1
1
4
1
1
1
1
1
1
1
1
1
1
1
2
2
2
1
3
1
1
1
3
1
1
1
1
2
1
1
33
53
2
2
1
2
4
2
1
1
1
1
1
2
1
3
2
1
6
1
2
2
3
1
1
2
2
1
2
1
3
1
3
2
1
3
2
1
5
1
2
1
1
1
2
1
1
4
1
2
1
1
1
2
1
1
1
3
1
1
1
1
4
1
1
2
2
1
1
1
1
1
3
1
1
2
1
1
2
1
1
1
5
1
1
1
3
5
1
1
2
2
1
1
1
1
3
2
1
2
1
2
1
2
1
1
2
1
2
1
3
2
2
1
1
1
1
1
1
2
33
25
2
1
1
1
1
2
2
1
1
1
1
1
1
2
1
1
2
1
1
4
1
1
1
2
1
1
4
2
3
1
1
2
