Country;Job Title;Age group;Quantity;Percentage
Croatia;Unemployed;40_65;41;47.13%
Croatia;Unemployed;26_39;25;28.74%
Croatia;Unemployed;14_25;20;22.99%
Croatia;Operations Officer, Afloat (Naval Tactical Data Systems);26_39;1;1.15%
